modelo_id;topic_id;doc_id;eval_1;eval_2;eval_3;eval_4
GSDM;7;5;1;1;1;1
GSDM;8;1;1;1;1;1
GSDM;8;2;1;1;1;1
GSDM;8;3;1;1;1;1
GSDM;8;4;1;1;1;1
GSDM;8;5;1;1;1;1
GSDM;9;1;1;1;1;1
GSDM;9;2;1;1;1;1
GSDM;9;3;1;1;1;1
GSDM;9;4;1;1;1;1
GSDM;9;5;1;1;1;1
GSDM;10;1;1;1;1;1
GSDM;10;2;1;1;2;1
GSDM;10;3;1;1;1;1
GSDM;10;4;1;1;1;1
GSDM;10;5;1;1;1;1
GSDM;11;1;1;1;1;1
GSDM;11;2;1;1;1;1
GSDM;11;3;1;1;2;1
GSDM;11;4;1;1;1;1
GSDM;11;5;1;1;2;1
GSDM;12;1;1;1;1;1
GSDM;12;2;1;1;1;1
GSDM;12;3;1;1;1;1
GSDM;12;4;1;1;1;1
GSDM;12;5;1;1;1;1
GSDM;13;1;2;1;2;1
GSDM;13;2;2;1;1;1
GSDM;13;3;2;1;1;1
GSDM;13;4;1;1;1;1
GSDM;13;5;1;1;1;1
GSDM;14;1;1;1;1;1
GSDM;14;2;1;1;2;1
GSDM;14;3;1;1;1;1
GSDM;14;4;1;1;1;1
GSDM;14;5;1;1;1;1
GSDM;15;1;1;1;1;1
GSDM;15;2;1;1;1;1
GSDM;15;3;1;1;1;1
GSDM;15;4;1;1;1;1
GSDM;15;5;1;1;2;1
GSDM;16;1;1;1;1;1
GSDM;16;2;1;1;2;1
GSDM;16;3;1;1;1;1
GSDM;16;4;1;1;1;1
GSDM;16;5;1;1;1;1
GSDM;17;1;2;1;2;1
GSDM;17;2;1;1;2;1
GSDM;17;3;1;1;2;1
GSDM;17;4;1;1;2;1
GSDM;17;5;2;1;2;1
GSDM;18;1;1;1;1;1
GSDM;18;2;1;1;1;1
GSDM;18;3;1;1;2;1
GSDM;18;4;1;1;1;1
GSDM;18;5;1;1;1;1
GSDM;19;1;1;1;1;1
GSDM;19;2;1;1;1;1
GSDM;19;3;1;1;1;1
GSDM;19;4;1;1;1;1
GSDM;19;5;1;1;1;1
GSDM;20;1;2;1;2;1
GSDM;20;2;1;1;1;1
GSDM;20;3;1;1;1;1
GSDM;20;4;1;1;1;1
GSDM;20;5;1;1;1;1
BERTOPIC;1;1;1;1;1;1
BERTOPIC;1;2;1;1;1;1
BERTOPIC;1;3;1;1;1;1
BERTOPIC;1;4;2;2;2;2
BERTOPIC;1;5;1;1;1;1
BERTOPIC;2;1;2;2;2;2
BERTOPIC;2;2;1;2;2;2
BERTOPIC;2;3;1;1;2;1
BERTOPIC;2;4;1;1;2;2
BERTOPIC;2;5;1;1;2;2
BERTOPIC;3;1;1;1;1;1
BERTOPIC;3;2;1;1;2;1
BERTOPIC;3;3;1;1;1;1
BERTOPIC;3;4;1;1;1;1
BERTOPIC;3;5;1;1;1;1
BERTOPIC;4;1;1;1;1;1
BERTOPIC;4;2;1;1;1;1
BERTOPIC;4;3;1;1;1;1
